Year,Products,Total_Consumption
1990,Biomass,131582800
1990,Fossil fuels,155975600
1990,Metal ores,234140400
1990,Non-metallic minerals,166919700
1991,Biomass,134508800
1991,Fossil fuels,177606200
1991,Metal ores,231546700
1991,Non-metallic minerals,163091800
1992,Biomass,123151500
1992,Fossil fuels,153398500
1992,Metal ores,217336500
1992,Non-metallic minerals,154698500
1993,Biomass,124639100
1993,Fossil fuels,140766000
1993,Metal ores,208392300
1993,Non-metallic minerals,154056200
1994,Biomass,115963800
1994,Fossil fuels,136673600
1994,Metal ores,212845800
1994,Non-metallic minerals,161053100
1995,Biomass,143881300
1995,Fossil fuels,150781700
1995,Metal ores,225465800
1995,Non-metallic minerals,173701100
1996,Biomass,154014800
1996,Fossil fuels,152557700
1996,Metal ores,253387400
1996,Non-metallic minerals,158463100
1997,Biomass,160529000
1997,Fossil fuels,161329100
1997,Metal ores,254395200
1997,Non-metallic minerals,163166300
1998,Biomass,179414000
1998,Fossil fuels,175027300
1998,Metal ores,257881300
1998,Non-metallic minerals,173209100
1999,Biomass,183334800
1999,Fossil fuels,166924500
1999,Metal ores,256568800
1999,Non-metallic minerals,181089500
2000,Biomass,173978700
2000,Fossil fuels,163439700
2000,Metal ores,241431400
2000,Non-metallic minerals,180795700
2001,Biomass,164841600
2001,Fossil fuels,186349700
2001,Metal ores,254128800
2001,Non-metallic minerals,167227500
2002,Biomass,147294700
2002,Fossil fuels,197940300
2002,Metal ores,254251100
2002,Non-metallic minerals,184414300
2003,Biomass,175690600
2003,Fossil fuels,205485400
2003,Metal ores,273260400
2003,Non-metallic minerals,192722900
2004,Biomass,170827200
2004,Fossil fuels,209350000
2004,Metal ores,261005500
2004,Non-metallic minerals,204783600
2005,Biomass,175287500
2005,Fossil fuels,218237500
2005,Metal ores,264220400
2005,Non-metallic minerals,214025300
2006,Biomass,144189600
2006,Fossil fuels,202894000
2006,Metal ores,238106600
2006,Non-metallic minerals,212367900
2007,Biomass,169363200
2007,Fossil fuels,245938900
2007,Metal ores,266467900
2007,Non-metallic minerals,275067100
2008,Biomass,147204800
2008,Fossil fuels,220513800
2008,Metal ores,226979500
2008,Non-metallic minerals,211129500
2009,Biomass,162187900
2009,Fossil fuels,261968600
2009,Metal ores,275020100
2009,Non-metallic minerals,239904800
2010,Biomass,155334000
2010,Fossil fuels,259703000
2010,Metal ores,266050900
2010,Non-metallic minerals,222791600
2011,Biomass,159225000
2011,Fossil fuels,257562200
2011,Metal ores,264054300
2011,Non-metallic minerals,241991400
2012,Biomass,166390000
2012,Fossil fuels,271479400
2012,Metal ores,256022700
2012,Non-metallic minerals,256627800
2013,Biomass,159322500
2013,Fossil fuels,274424900
2013,Metal ores,273541300
2013,Non-metallic minerals,250629600
2014,Biomass,164004600
2014,Fossil fuels,280905300
2014,Metal ores,293620800
2014,Non-metallic minerals,256864800
2015,Biomass,164901100
2015,Fossil fuels,288472500
2015,Metal ores,302076600
2015,Non-metallic minerals,262881500
2016,Biomass,165763000
2016,Fossil fuels,293902600
2016,Metal ores,310540500
2016,Non-metallic minerals,268900900
2017,Biomass,166626500
2017,Fossil fuels,299355900
2017,Metal ores,319005400
2017,Non-metallic minerals,274923200
